Smiles,IC50_nM,pIC50
C=CC(=O)N1CC[C@H](N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,3.0,8.522878745280337
C=CC(=O)N1CC[C@H](Nc2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,10.8,7.966576244513051
C=CC(=O)N1C[C@@H]2CN(c3nc(Nc4ccc(N5CCN(C)CC5)cc4)c4ncn(C(C)C)c4n3)C[C@@H]2C1,8.0,8.096910013008056
C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](OC)C1,21.0,7.6777807052660805
C=CC(=O)NCCCSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,22.0,7.657577319177793
C=CC(=O)NCCSc1nc(-c2ccc(F)c(C(F)(F)F)c2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,144.0,6.84163750790475
C=CC(=O)NCCSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,2.2,8.657577319177793
C=CC(=O)NCCSc1nc(-c2ccccc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,1.7,8.769551078621726
C=CC(=O)NCc1cccc(-c2cc3c(-c4[nH]c(-c5ccccc5)nc4-c4ccc(F)cc4)ccnc3[nH]2)c1,34.2,7.465973893943865
C=CC(=O)NCc1cccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)c1,13.0,7.886056647693163
C=CC(=O)NCc1cccc(-c2nc(C3CC3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)c1,3920.0,5.406713932979542
C=CC(=O)NCc1cccc(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1,4.9,8.309803919971486
C=CC(=O)NCc1cn(Cc2cccc(Nc3cc(-c4[nH]c(SC)nc4-c4ccc(F)cc4)ccn3)c2)nn1,46.0,7.337242168318426
C=CC(=O)N[C@@H]1CCCN(c2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,6.5,8.187086643357144
C=CC(=O)N[C@@H]1CCN(c2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,4.7,8.327902142064282
C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C4CCN(C)C4)nc3OC)c3ncn(C(C)C)c3n2)C[C@H]1F,5.0,8.301029995663981
C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(CC)nc3OC)c3ncn(C)c3n2)C[C@H]1F,2.0,8.698970004336019
C=CC(=O)N[C@@H]1CN(c2nc(Nc3cnn(C)c3)c3ncn(C(C)C)c3n2)C[C@H]1F,2.0,8.698970004336019
C=CC(=O)N[C@H]1CCCN(c2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,14.2,7.847711655616943
C=CC(=O)N[C@H]1CCC[C@@H](n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cc(C)ccc32)C1,543.0,6.265200170411153
C=CC(=O)N[C@H]1CCN(c2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(CCO)c3n2)C1,7.0,8.154901959985743
C=CC(=O)N[C@H]1CCN(c2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,3.2,8.494850021680094
C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)ccc1OCCN(C)C,0.1,10.0
C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)ccc1OCCO,0.1,10.0
C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)nc(C)n2)c(OC)cc1N(C)CCN(C)C,46.5,7.332547047110046
C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)nc(OC)n2)c(OC)cc1N(C)CCN(C)C,123.4,6.908684840302778
C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)ncn2)c(OC)cc1N(C)CCN(C)C,2.2,8.657577319177793
C=CC(=O)Nc1cc(Nc2cc(-c3cn4c5c(cccc35)CCC4)nc(OC)n2)c(OC)cc1N(C)CCN(C)C,181.1,6.742081549685942
C=CC(=O)Nc1cc(Nc2cc(-c3cn4c5c(cccc35)CCC4)ncn2)c(OC)cc1N(C)CCN(C)C,1.2,8.920818753952375
C=CC(=O)Nc1cc(Nc2cc[nH]n2)nc(-c2ccccc2)n1,800.0,6.096910013008056
C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4ccc(F)cc4)ccc23)c(OC)cc1N(C)CCN(C)C,8.5,8.070581074285707
